date,ticker,open,high,low,close,adj_close,volume,ret_1d,ret_5d,ret_20d,vol_20d,vol_60d,sma20_gap,sma60_gap,rsi_14,macd,macd_signal,macd_hist,volume_z_20d,fwd_ret_60d,y
2010-09-23,TSLA,1.3259999752044678,1.3426669836044312,1.2999999523162842,1.3040000200271606,1.3040000200271606,10021500,-0.015601624605655506,-0.06590258295612905,-0.017085622832611613,0.02874692190703785,0.04604879788751921,-0.045690722064644675,-0.017842177544424097,44.57529169388932,0.006110167802938937,0.013741663247339934,-0.007631495444400997,-0.004987014274813914,0.47204667943004364,1
2010-09-24,TSLA,1.3300000429153442,1.3459999561309814,1.309999942779541,1.340000033378601,1.340000033378601,8683500,0.02760737177802386,-0.006426339506493073,0.0177213170517021,0.029359762495805086,0.04620986358752656,-0.020181315097949855,0.012432980913805815,48.42507270179883,0.0038492295600911497,0.011763176509890179,-0.00791394694979903,-0.18361704445210666,0.45559667694900796,1
2010-09-27,TSLA,1.3600000143051147,1.3873330354690552,1.3366669416427612,1.3686670064926147,1.3686670064926147,6279000,0.021393262985027306,-0.025165980250995035,0.042132475558761984,0.029681587778896405,0.045186963438134414,-0.0012403191151213395,0.03533512064206171,51.32446640416214,0.004320797401028198,0.010274700688117783,-0.005953903287089585,-0.4850159605353821,0.45194072611042485,1
2010-09-28,TSLA,1.4026670455932615,1.4326670169830322,1.383999943733215,1.4266669750213623,1.4266669750213623,18217500,0.042376975738883216,0.030332155618186807,0.07700048379641955,0.030980187953546866,0.042392289652318484,0.03722393037395332,0.0772175909100787,56.63609339803736,0.009267797644499698,0.010073320079394167,-0.0008055224348944689,0.9245477632780997,0.42184082981361054,1
2010-09-29,TSLA,1.4126670360565186,1.4686670303344729,1.408666968345642,1.4653329849243164,1.4653329849243164,29539500,0.02710233753211755,0.10618971443052416,0.1283362376822197,0.030852725294608276,0.03665099811364186,0.0589196307087799,0.10099070351450787,59.78655648369642,0.016122504634982437,0.011283156990511821,0.0048393476444706165,1.9412738212033749,0.3140602003523423,1
2010-09-30,TSLA,1.4666670560836792,1.476667046546936,1.3459999561309814,1.3606669902801514,1.3606669902801514,32937000,-0.07142812979779545,0.04345626486402243,-0.0019554991900470053,0.03367921295730358,0.03785581026608297,-0.016622290499956272,0.018429434525931685,49.33736125406645,0.012959845244116863,0.01161849464123283,0.0013413506028840325,1.9460995665903942,0.2246119181638758,1
2010-10-01,TSLA,1.3793330192565918,1.3833329677581787,1.3539999723434448,1.373332977294922,1.373332977294922,8965500,0.009308660462294949,0.02487533066120684,-0.021842639327550817,0.03304355382743664,0.035510505266044726,-0.006367236216038071,0.025232405609416354,50.46560842501074,0.011344679782433253,0.011563731669472915,-0.00021905188703966183,-0.423117136204721,0.24845208002509048,1
2010-10-04,TSLA,1.3619999885559082,1.4113329648971558,1.3533329963684082,1.3993330001831057,1.3993330001831057,9654000,0.018932060409265317,0.022405737513229385,-0.0028503203785927855,0.03333048354262554,0.03555513774371774,0.012590803181694246,0.0415406509430317,52.789798673827875,0.01202402855672502,0.011655791046923337,0.0003682375098016822,-0.37372656018995276,0.278469158012588,1
2010-10-05,TSLA,1.409999966621399,1.418666958808899,1.4006669521331787,1.4079999923706057,1.4079999923706057,4980000,0.006193659540913998,-0.013084330805706812,0.028237808308285928,0.03283835906747528,0.03541778697049524,0.017439031420811348,0.044475954833649106,53.571832861370154,0.013110639895623555,0.011946760816663382,0.001163879078960173,-0.8517111455827227,0.22692447300664262,1
2010-10-06,TSLA,1.4040000438690186,1.4173330068588257,1.3546669483184814,1.3639999628067017,1.3639999628067017,4701000,-0.03125002116642239,-0.06915358021702389,-0.021052394721342793,0.03342372093513263,0.034823270583010914,-0.013310246192440818,0.009904879241766475,49.12301948980318,0.010302590695695502,0.011617926792469806,-0.0013153360967743041,-0.8831576745116624,0.2635665052369739,1
2010-10-07,TSLA,1.3713330030441284,1.3760000467300415,1.3559999465942385,1.3619999885559082,1.3619999885559082,2115000,-0.00146625682208823,0.000979665329782442,-0.013520264509871205,0.03336433306887387,0.032705920365123375,-0.014091335035226795,0.007934879268216424,48.924141366135714,0.0078256016022904,0.010859461754433924,-0.0030338601521435245,-1.1057623451661804,0.2646586142372921,1
2010-10-08,TSLA,1.3619999885559082,1.3860000371932983,1.359333038330078,1.3619999885559082,1.3619999885559082,4017000,0.0,-0.008252178405659949,0.012890203480816043,0.03280253098601926,0.03270557556214392,-0.014709448790337299,0.0074875302781974434,48.924141366135714,0.0057957599866333975,0.00984672140087382,-0.004050961414240422,-0.9022535722972904,0.26653493615768487,1
2010-10-11,TSLA,1.3626669645309448,1.3799999952316284,1.3380000591278076,1.3493330478668213,1.3493330478668213,2568000,-0.009300250216974892,-0.03573127505014306,-0.02316598951228399,0.03228567347677129,0.0323720680182465,-0.022741758911515506,-0.0015541018606361975,47.51122995465388,0.0031289114865007406,0.008503159417999204,-0.005374247931498464,-1.0170237329780436,0.28186019757491904,1
2010-10-12,TSLA,1.3466670513153076,1.3519999980926514,1.335332989692688,1.3493330478668213,1.3493330478668213,3660000,0.0,-0.04166686421994126,-0.04166686421994126,0.03194380544398544,0.03135457773855279,-0.020661168304762653,-0.00018131517240980766,47.51122995465387,0.0010038431574908024,0.007003296165897524,-0.005999453008406722,-0.8654805684226103,0.3202491409983585,1
2010-10-13,TSLA,1.3760000467300415,1.3899999856948853,1.3573329448699951,1.369333028793335,1.369333028793335,4773000,0.014822123387648434,0.003909872530831748,-0.06551408936989145,0.030634612625657212,0.029926681036523618,-0.002670778625975905,0.014437674887213765,50.14759212454637,0.0009229038493274722,0.005787217702583514,-0.004864313853256042,-0.7240712450579682,0.3183655786077642,1
2010-10-14,TSLA,1.399999976158142,1.4019999504089355,1.3600000143051147,1.3833329677581787,1.3833329677581787,4422000,0.01022391096282882,0.01566298045632819,-0.009073824962339327,0.028899603482845704,0.02994581531436598,0.007990803949036533,0.024362307928337584,51.966312157613636,0.001965776686573495,0.005022929499381511,-0.003057152812808016,-0.7340217024265389,0.3156023558284957,1
2010-10-15,TSLA,1.3926670551300049,1.3933329582214355,1.350000023841858,1.369333028793335,1.369333028793335,4270500,-0.01012044048045202,0.005384023714421371,0.015323280569241593,0.02790547699785561,0.029564144444145773,-0.0029612104078010817,0.014379235264529182,50.00182040367077,0.0016436360383704773,0.004347070807179304,-0.0027034347688088267,-0.6767489320281019,0.27198011964704116,1
